Ticker,Company Name,Price,Market Cap,IPO Year,Sector,Industry,Website
VCVCU,10X Capital Venture Acquisition Corp,11.65,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/vcvcu
VCVCW,10X Capital Venture Acquisition Corp,2.4,,2021.0,Finance,Business Services,https://old.nasdaq.com/symbol/vcvcw
TXG,"10x Genomics, Inc.",187.0,$20.12B,2019.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/txg
YI,"111, Inc.",11.9,$980.08M,2018.0,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/yi
YQ,17 Education & Technology Group Inc.,16.9,$3.17B,2020.0,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/yq
TURN,180 Degree Capital Corp.,6.61,$68.57M,,Finance,Finance/Investors Services,https://old.nasdaq.com/symbol/turn
ATNF,180 Life Sciences Corp.,3.88,$94.67M,2017.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/atnf
ATNFW,180 Life Sciences Corp.,0.4402,,2017.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/atnfw
FLWS,"1-800-FLOWERS.COM, Inc.",31.67,$2.06B,1999.0,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/flws
BCOW,"1895 Bancorp of Wisconsin, Inc.",9.77,$46.6M,2019.0,Finance,Banks,https://old.nasdaq.com/symbol/bcow
ONEM,"1Life Healthcare, Inc.",50.31,$6.69B,2020.0,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/onem
FCCY,1st Constitution Bancorp (NJ),15.46,$158.28M,,Finance,Savings Institutions,https://old.nasdaq.com/symbol/fccy
SRCE,1st Source Corporation,42.78,$1.09B,,Finance,Major Banks,https://old.nasdaq.com/symbol/srce
VNET,"21Vianet Group, Inc.",41.17,$5.47B,2011.0,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/vnet
ADERU,26 Capital Acquisition Corp.,10.7,,2021.0,Finance,Business Services,https://old.nasdaq.com/symbol/aderu
TWOU,"2U, Inc.",43.97,$3.17B,2014.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/twou
QFIN,"360 DigiTech, Inc.",15.99,$2.43B,2018.0,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/qfin
KRKR,36Kr Holdings Inc.,5.3,$198.72M,2019.0,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/krkr
FDMT,"4D Molecular Therapeutics, Inc.",47.42,$1.26B,2020.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/fdmt
FVAM,5:01 Acquisition Corp.,10.63,$116.09M,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/fvam
JOBS,"51job, Inc.",68.88,$4.64B,2004.0,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/jobs
VIIAU,7GC & Co. Holdings Inc.,10.57,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/viiau
ENFAU,"890 5th Avenue Partners, Inc.",10.4,,2021.0,Finance,Business Services,https://old.nasdaq.com/symbol/enfau
ETNB,"89bio, Inc.",20.73,$412.09M,2019.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/etnb
EGHT,8x8 Inc,37.5,$3.99B,,Technology,EDP Services,https://old.nasdaq.com/symbol/eght
NMTR,"9 Meters Biopharma, Inc.",1.25,$254.25M,2018.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/nmtr
MASS,908 Devices Inc.,65.45,$1.71B,2020.0,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/mass
JFU,9F Inc.,1.52,$296.69M,2019.0,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/jfu
AAON,"AAON, Inc.",72.74,$3.8B,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aaon
ABCM,Abcam plc,23.59,$5.35B,2020.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/abcm
ABCL,AbCellera Biologics Inc.,50.5,$13.59B,2020.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abcl
ABEO,Abeona Therapeutics Inc.,2.12,$208.88M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abeo
ABMD,"ABIOMED, Inc.",347.9,$15.72B,,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/abmd
AXAS,Abraxas Petroleum Corporation,2.69,$22.61M,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/axas
ABST,Absolute Software Corporation,13.29,$648.26M,2020.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/abst
ACIU,AC Immune SA,6.33,$454.12M,2016.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aciu
ACIA,"Acacia Communications, Inc.",114.48,$4.85B,2016.0,Technology,Semiconductors,https://old.nasdaq.com/symbol/acia
ACTG,Acacia Research Corporation,5.74,$282.86M,,Miscellaneous,Multi-Sector Companies,https://old.nasdaq.com/symbol/actg
ASO,"Academy Sports and Outdoors, Inc.",22.46,$2.02B,2020.0,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/aso
ACHC,"Acadia Healthcare Company, Inc.",52.01,$4.63B,,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/achc
ACAD,ACADIA Pharmaceuticals Inc.,52.83,$8.4B,1985.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acad
ACST,"Acasti Pharma, Inc.",0.8,$77.51M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acst
AXDX,"Accelerate Diagnostics, Inc.",8.78,$500.72M,,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/axdx
XLRN,Acceleron Pharma Inc.,124.61,$7.51B,2013.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/xlrn
ACCD,"Accolade, Inc.",59.09,$3.27B,2020.0,,,https://old.nasdaq.com/symbol/accd
ARAY,Accuray Incorporated,5.11,$466.41M,2007.0,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/aray
ACEV,ACE Convergence Acquisition Corp.,11.19,$321.71M,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/acev
ACEVU,ACE Convergence Acquisition Corp.,12.51,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/acevu
ACEVW,ACE Convergence Acquisition Corp.,2.65,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/acevw
ACRX,"AcelRx Pharmaceuticals, Inc.",1.91,$172.81M,2011.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acrx
ACER,Acer Therapeutics Inc.,3.67,$51.08M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acer
ACHV,"Achieve Life Sciences, Inc. ",11.78,$71.74M,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/achv
ACIW,"ACI Worldwide, Inc.",40.3,$4.71B,,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/aciw
ACAC,Acies Acquisition Corp.,11.15,$300M,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/acac
ACACU,Acies Acquisition Corp.,11.76,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/acacu
ACACW,Acies Acquisition Corp.,2.24,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/acacw
ACKIU,Ackrell SPAC Partners I Co. ,10.47,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/ackiu
ACRS,"Aclaris Therapeutics, Inc.",18.22,$781.99M,2015.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acrs
ACMR,"ACM Research, Inc.",97.6,$1.8B,2017.0,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/acmr
ACNB,ACNB Corporation,27.17,$236.47M,,Finance,Major Banks,https://old.nasdaq.com/symbol/acnb
STWO,ACON S2 Acquisition Corp.,10.68,$333.75M,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/stwo
STWOU,ACON S2 Acquisition Corp.,11.49,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/stwou
STWOW,ACON S2 Acquisition Corp.,2.11,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/stwow
ACOR,"Acorda Therapeutics, Inc.",7.6,$72.07M,2006.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/acor
ATVI,"Activision Blizzard, Inc",94.43,$72.98B,,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/atvi
AFIB,"Acutus Medical, Inc.",25.95,$722.61M,2020.0,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/afib
ADMS,"Adamas Pharmaceuticals, Inc.",4.72,$134.62M,2014.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adms
ADMP,Adamis Pharmaceuticals Corporation,1.79,$167.65M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/admp
AHCO,AdaptHealth Corp. ,38.0,$3.68B,2018.0,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/ahco
ADAP,Adaptimmune Therapeutics plc,5.6,$866.76M,2015.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/adap
